Name,Generations,Max value
eil51_n150_bounded-strongly-corr_01.ttp,1806,7651.203992578756
eil51_n150_bounded-strongly-corr_02.ttp,1709,11869.048771841848
eil51_n150_bounded-strongly-corr_03.ttp,1172,20739.40885529679
eil51_n150_bounded-strongly-corr_04.ttp,1433,27829.605851451735
eil51_n150_bounded-strongly-corr_05.ttp,970,15500.381794578694
eil51_n150_bounded-strongly-corr_06.ttp,868,23788.794704245418
eil51_n150_bounded-strongly-corr_07.ttp,883,-12751.24403895247
eil51_n150_bounded-strongly-corr_08.ttp,1181,10682.907996176917
eil51_n150_bounded-strongly-corr_09.ttp,1775,224.6190099943342
eil51_n150_bounded-strongly-corr_10.ttp,1315,22430.482972152517
eil51_n150_uncorr-similar-weights_01.ttp,821,4147.258637754152
eil51_n150_uncorr-similar-weights_02.ttp,957,7724.839955225042
eil51_n150_uncorr-similar-weights_03.ttp,976,9272.666178289575
eil51_n150_uncorr-similar-weights_04.ttp,871,6647.264443778029
eil51_n150_uncorr-similar-weights_05.ttp,908,4194.967017275892
eil51_n150_uncorr-similar-weights_06.ttp,1328,5139.096973876563
eil51_n150_uncorr-similar-weights_07.ttp,1769,6593.246299940096
eil51_n150_uncorr-similar-weights_08.ttp,1183,8083.797825724068
eil51_n150_uncorr-similar-weights_09.ttp,1070,-5669.392489176353
eil51_n150_uncorr-similar-weights_10.ttp,1439,-2154.5059308843265
eil51_n150_uncorr_01.ttp,767,6361.87855377779
eil51_n150_uncorr_02.ttp,837,8620.98745990415
eil51_n150_uncorr_03.ttp,1869,8941.584084357946
eil51_n150_uncorr_04.ttp,1507,4497.8471708300785
eil51_n150_uncorr_05.ttp,1446,-1335.0456058522177
eil51_n150_uncorr_06.ttp,2575,5200.598224833975
eil51_n150_uncorr_07.ttp,1443,6417.587840699678
eil51_n150_uncorr_08.ttp,3155,4094.5626812831797
eil51_n150_uncorr_09.ttp,992,7046.581788203948
eil51_n150_uncorr_10.ttp,1491,5750.388971859364
eil51_n250_bounded-strongly-corr_01.ttp,866,20198.44265971296
eil51_n250_bounded-strongly-corr_02.ttp,853,32507.609331480657
eil51_n250_bounded-strongly-corr_03.ttp,744,43815.2118233692
eil51_n250_bounded-strongly-corr_04.ttp,1030,44386.898812348314
eil51_n250_bounded-strongly-corr_05.ttp,1118,38846.770174924604
eil51_n250_bounded-strongly-corr_06.ttp,1025,49851.27744695256
eil51_n250_bounded-strongly-corr_07.ttp,2625,57728.83176158645
eil51_n250_bounded-strongly-corr_08.ttp,1283,23757.85946570018
eil51_n250_bounded-strongly-corr_09.ttp,2070,29415.297965514503
eil51_n250_bounded-strongly-corr_10.ttp,1919,54744.28192866844
eil51_n250_uncorr-similar-weights_01.ttp,767,7830.915000518446
